Time,Time Code,Country Name,Country Code,Adjusted net national income (annual % growth) [NY.ADJ.NNTY.KD.ZG],Adjusted net national income per capita (annual % growth) [NY.ADJ.NNTY.PC.KD.ZG],"Adjusted net savings, excluding particulate emission damage (% of GNI) [NY.ADJ.SVNX.GN.ZS]","Adjusted net savings, including particulate emission damage (% of GNI) [NY.ADJ.SVNG.GN.ZS]",Gross savings (% of GDP) [NY.GNS.ICTR.ZS]
2019,YR2019,India,IND,2.780767993,1.732329767,17.90631483,16.76715259,29.70220058
2019,YR2019,Italy,ITA,0.392058922,1.556307054,7.061358074,7.002574806,21.49228708
2019,YR2019,Japan,JPN,-0.37515192,-0.235115572,6.707025965,6.63193438,29.1717019
2019,YR2019,United States,USA,2.145573772,1.681479446,6.885279405,6.819310784,19.79929249
2019,YR2019,United Kingdom,GBR,..,..,..,..,15.68814831
2019,YR2019,Switzerland,CHE,1.44999829,0.728916431,13.32964276,13.2904374,31.09476335
2019,YR2019,Sudan,SDN,-4.792422026,-21.33785005,25.83471524,23.70182377,5.11300711
2020,YR2020,Afghanistan,AFG,..,..,..,..,-2.737769443
2020,YR2020,China,CHN,0.23216385,-0.006145915,15.79261331,15.29737011,43.92641666
2020,YR2020,Canada,CAN,-7.040625674,-8.033479405,3.861047458,3.827437056,18.94175771
2020,YR2020,India,IND,-6.91017441,-7.795154355,15.69657333,14.44113603,28.5076882
2020,YR2020,Italy,ITA,-9.433004455,-8.990780915,5.547421709,5.483508545,21.58867979
2020,YR2020,Japan,JPN,-5.376366041,-5.097578515,4.81173284,4.734411706,28.14751085
2020,YR2020,United States,USA,-3.397512504,-4.324619112,5.758765287,5.690157834,19.43257343
2020,YR2020,United Kingdom,GBR,..,..,..,..,14.70385278
2020,YR2020,Switzerland,CHE,-5.531213383,-6.218958663,11.88990831,11.84924342,30.37698981
2020,YR2020,Sudan,SDN,4.159782906,-2.832947261,19.94046535,17.84148262,4.650273517
2021,YR2021,Afghanistan,AFG,-20.67268919,-22.90265136,..,..,..
2021,YR2021,China,CHN,7.51005518,7.414142899,16.80658622,16.3297221,45.47068464
2021,YR2021,Canada,CAN,8.713819751,8.090052972,7.615200744,7.584407704,22.94635563
2021,YR2021,India,IND,10.35945385,9.483148189,16.58523349,15.40917605,28.18140364
2021,YR2021,Italy,ITA,6.167560098,6.716373662,7.745669556,7.685687545,24.25170253
2021,YR2021,Japan,JPN,-1.244111695,-0.788835377,3.625186037,3.551012105,29.48493644
2021,YR2021,United States,USA,5.298325546,5.133402811,4.37046039,4.304634851,18.10418793
2021,YR2021,United Kingdom,GBR,..,..,..,..,17.45913638
2021,YR2021,Switzerland,CHE,8.44437662,7.617403073,16.18991766,16.15049422,35.25016146
2021,YR2021,Sudan,SDN,-1.691678188,..,-6.5439822,-8.499035727,6.71969623
2022,YR2022,Afghanistan,AFG,..,..,..,..,..
2022,YR2022,China,CHN,..,..,..,..,46.01743463
2022,YR2022,Canada,CAN,..,..,..,..,23.58879877
2022,YR2022,India,IND,..,..,..,..,29.94749199
2022,YR2022,Italy,ITA,..,..,..,..,21.14913589
2022,YR2022,Japan,JPN,..,..,..,..,28.73101813
2022,YR2022,United States,USA,..,..,..,..,..
2022,YR2022,United Kingdom,GBR,..,..,..,..,16.68922345
2022,YR2022,Switzerland,CHE,..,..,..,..,34.73424471
2022,YR2022,Sudan,SDN,..,..,..,..,5.424893616
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: World Development Indicators,,,,,,,,
Last Updated: 12/18/2023,,,,,,,,
